id,model,MOS1,MOS2,MOS3,MOS4,MOS5,MOS6,MOS7,MOS8,MOS9,MOS10,MOS11,MOS12,MOS13,MOS14,MOS15,MOS16,MOS17,MOS18,MOS19,MOS20,MOS21,MOS22,MOS23,MOS24,MOS25,MOS26,MOS27,MOS28,MOS29,MOS30
pai,./models_results/1.7B_30w_zh,4,4,3.5,4,4,3.5,3.5,4,4,4,4.5,4.5,4,4.5,4.5,4,4.5,3.5,4,3.5,4,4.5,4,4.5,3.5,3.5,3.5,3,4.5,4.5
pai,./models_results/fish1.5_zh,3.5,3,3.5,3.5,4,3.5,4.5,3.5,3,3.5,3.5,3.5,4,3.5,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,4,3.5,3.5,3,3.5,4
pai,./models_results/maskgct_zh,4,4,4,4,3.5,3.5,4,4,4,3.5,4,3.5,4,4,4,4.5,4,3.5,4,4,4,4,3,3,4,4,3,2.5,4,4
pai,./models_results/valle_zh,3.5,3.5,3,2.5,3,4,3.5,3,3.5,3,3,3.5,2.5,2.5,3.5,3.5,3,3,3,3.5,3,3,3,3,2.5,3.5,3,3.5,3,3
ljw,./models_results/1.7B_30w_zh,3,3.5,4,3,4,4,4,4.5,4.5,4.5,4,4.5,4,4.5,4.5,4.5,4,4,4,3,4.5,3.5,4.5,3.5,4,4.5,4,3.5,4,4.5
ljw,./models_results/fish1.5_zh,3.5,4,4,3.5,4.5,3.5,4.5,3.5,4,4,3.5,4,4.5,4,3.5,4,3.5,4.5,3,4,4,4,4,4,4,4,3.5,2.5,3.5,4
ljw,./models_results/maskgct_zh,3.5,4.5,4.5,3.5,3,3.5,3.5,4,3.5,3,4.5,3,4,4,4,3.5,4.5,3,4.5,4.5,3.5,4.5,3,4.5,4,4,3,3,4.5,4.5
ljw,./models_results/valle_zh,4,4,3.5,4,3.5,4.5,4,3,4,2.5,3,2.5,3,3,3,4,3,2,3,2.5,3,3,3.5,3,3.5,3.5,3.5,4.5,4,3.5
yucheng,./models_results/1.7B_30w_zh,4,4,3.5,3.5,3,3,3.5,3.5,4,4,4,4,4,4.5,4,4.5,4.5,5,4,3.5,5,4.5,4,3.5,3.5,3.5,3.5,3.5,4,4.5
yucheng,./models_results/fish1.5_zh,3.5,3.5,4,4,4,3.5,3.5,3,3,3.5,3,3.5,4,4,3.5,3.5,3,3.5,3,3.5,3,4,3.5,3.5,3.5,3,3,3,4,4
yucheng,./models_results/maskgct_zh,4.5,4,4,4,2.5,3,4,3.5,3.5,4.5,3.5,2.5,4,4.5,3,4,4.5,4,4,3.5,5,5,3,3,3.5,3.5,3,2.5,4,4
yucheng,./models_results/valle_zh,4,3.5,4,3.5,3,3,4.5,3.5,3.5,3.5,2.5,3,2.5,3,3,3,2,2,3.5,3,2.5,4,3,3.5,3,3,3,3.5,3.5,4
hshixi,./models_results/1.7B_30w_zh,4,3.5,3,3.5,3,2.5,3.5,4.5,4,4.5,4.5,4,4.5,4.5,4.5,4.5,4,4,4.5,3.5,4,4,3.5,3.5,3.5,4.5,2.5,3,4.5,4.5
hshixi,./models_results/fish1.5_zh,4,4,3,3,4.5,3,4,3.5,2,4,3.5,3.5,5,4,4,3.5,3.5,3,3.5,4,3.5,3,3.5,3,4,3.5,3,2.5,3.5,4
hshixi,./models_results/maskgct_zh,4.5,4.5,3.5,3,2.5,3,3,4.5,4,3.5,4,3,4,3.5,3.5,4,4.5,3.5,4.5,5,3.5,4.5,3,3,4.5,4,2.5,2,4,4
hshixi,./models_results/valle_zh,4,3.5,3,2.5,2,3,3.5,3,2.5,2.5,3,3.5,2.5,2,2,2.5,3,1,3,3,2.5,3.5,3,2.5,3,3.5,2.5,3.5,3,3
li heng,./models_results/1.7B_30w_zh,5,4,3,3.5,3,2.5,4,4,3,3,5,4.5,4,4,4.5,4,5,3,3.5,3,4.5,3.5,3.5,3.5,3,4,3.5,3,3,5
li heng,./models_results/fish1.5_zh,4,3,3,3.5,4,2.5,3.5,3,3.5,3,3.5,3.5,4.5,4.5,3.5,3,3,4.5,3.5,2.5,3,2.5,4.5,2.5,3.5,3.5,4,3,4.5,3
li heng,./models_results/maskgct_zh,4.5,4,4,3.5,2.5,3.5,3.5,4.5,4,4,4.5,2,5,3,4.5,4,4.5,3,3.5,3,3,2.5,3,3.5,4.5,3,3.5,2,4,4.5
li heng,./models_results/valle_zh,3.5,2.5,3,2,2.5,3,3,2,2,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2,1,2,2,2,2.5,3,3,2.5,3.5,3,3,3.5,3.5